Name,Position,Age,Height,Weight,Salary,League
Zach Collins,F/C,20,84,235,"$3,057,240.00 ",NBA
Darren Collison,G,30,72,175,"$10,000,000.00 ",NBA
Mike Conley,PG,30,73,175,"$28,530,608.00 ",NBA
Pat Connaughton,G/F,24,77,210,"$1,471,382.00 ",NBA
DeMarcus Cousins,F/C,27,83,270,"$18,063,850.00 ",NBA
Robert Covington,F,27,81,225,"$16,698,103.00 ",NBA
Allen Crabbe,G/F,25,78,215,"$19,332,500.00 ",NBA
Jordan Crawford,G,29,76,195,"$1,709,538.00 ",NBA
Jae Crowder,F,27,78,235,"$6,796,117.00 ",NBA
Dante Cunningham,F,30,80,230,"$2,300,000.00 ",NBA
Seth Curry,G,27,74,185,"$3,028,410.00 ",NBA
Stephen Curry,G,29,75,190,"$34,382,550.00 ",NBA
Troy Daniels,G,26,76,205,"$3,408,520.00 ",NBA
Anthony Davis,F/C,24,82,253,"$23,775,506.00 ",NBA
Deyonta Davis,PF,21,83,237,"$1,312,611.00 ",NBA
Ed Davis,F/C,28,82,225,"$6,352,531.00 ",NBA
Dewayne Dedmon,C,28,84,245,"$6,000,000.00 ",NBA
Sam Dekker,F,23,81,230,"$1,794,600.00 ",NBA
Malcolm Delaney,G,28,75,190,"$2,500,000.00 ",NBA
Matthew Dellavedova,G,27,76,198,"$9,607,500.00 ",NBA
Luol Deng,F,32,81,220,"$17,190,000.00 ",NBA
DeMar DeRozan,G/F,28,79,221,"$27,739,975.00 ",NBA
Boris Diaw,F/C,35,80,250,"$7,500,000.00 ",NBA
Gorgui Dieng,F/C,27,83,251,"$14,112,360.00 ",NBA
Damyean Dotson,SG,23,78,205,"$1,100,000.00 ",NBA
Goran Dragic,G,31,75,190,"$17,000,450.00 ",NBA
Jared Dudley,F,32,79,240,"$10,000,000.00 ",NBA
Mike Dunleavy,G/F,37,81,220,"$4,837,500.00 ",NBA
Kris Dunn,G,23,76,208,"$4,046,760.00 ",NBA
Kevin Durant,F,29,81,240,"$25,000,000.00 ",NBA
Jarell Eddie,SG,26,79,218,"$57,672.00 ",NBA
Henry Ellenson,PF,20,83,245,"$1,780,800.00 ",NBA
Wayne Ellington,G/F,30,77,208,"$6,270,000.00 ",NBA
Monta Ellis,G,32,75,185,"$11,227,000.00 ",NBA
Joel Embiid,F/C,23,84,260,"$6,100,266.00 ",NBA
Tyler Ennis,PG,23,75,194,"$1,524,305.00 ",NBA
James Ennis III,G/F,27,79,210,"$3,028,410.00 ",NBA
Jeremy Evans,F,30,81,200,"$1,471,382.00 ",NBA
Tyreke Evans,G,28,78,220,"$3,290,000.00 ",NBA
Festus Ezeli,C,28,83,265,"$7,400,000.00 ",NBA
Kenneth Faried,F/C,28,80,228,"$12,921,348.00 ",NBA
Derrick Favors,F/C,26,82,265,"$12,000,000.00 ",NBA
Cristiano Felicio,C,25,82,290,"$7,833,500.00 ",NBA
Terrance Ferguson,G/F,19,79,184,"$1,785,000.00 ",NBA
Evan Fournier,G/F,25,79,205,"$17,000,000.00 ",NBA
De'Aaron Fox,PG,20,75,175,"$4,609,200.00 ",NBA
Tim Frazier,G,27,73,170,"$2,000,000.00 ",NBA
Channing Frye,F/C,34,83,255,"$7,420,912.00 ",NBA
Markelle Fultz,G,19,76,200,"$7,026,240.00 ",NBA
Danilo Gallinari,F,29,82,225,"$20,559,599.00 ",NBA
Langston Galloway,G,26,74,200,"$6,666,667.00 ",NBA
Marc Gasol,C,32,85,255,"$22,642,350.00 ",NBA
Pau Gasol,F/C,37,84,250,"$16,000,000.00 ",NBA
Rudy Gay,F,31,80,230,"$8,406,000.00 ",NBA
Paul George,G/F,27,81,220,"$19,508,958.00 ",NBA
Taj Gibson,F/C,32,81,235,"$14,000,000.00 ",NBA
Harry Giles,F/C,19,82,240,"$1,859,400.00 ",NBA
Manu Ginobili,G/F,40,78,205,"$2,500,000.00 ",NBA
Rudy Gobert,C,25,85,245,"$21,924,719.00 ",NBA
Archie Goodwin,G,23,77,205,"$1,577,230.00 ",NBA
Aaron Gordon,F,22,81,220,"$5,504,420.00 ",NBA
Eric Gordon,SG,29,76,215,"$12,943,020.00 ",NBA
Marcin Gortat,C,33,83,240,"$12,782,609.00 ",NBA
Treveon Graham,G/F,24,77,219,"$1,312,611.00 ",NBA
Jerami Grant,F,23,81,220,"$1,524,305.00 ",NBA
Jerian Grant,G,25,76,205,"$1,713,840.00 ",NBA
Danny Green,G/F,30,78,215,"$10,000,000.00 ",NBA
Draymond Green,F/C,27,79,230,"$16,400,000.00 ",NBA
JaMychal Green,F/C,27,81,227,"$8,533,333.00 ",NBA
Blake Griffin,F/C,28,82,251,"$29,512,900.00 ",NBA
Justin Hamilton,F/C,27,84,255,"$3,000,000.00 ",NBA
Tim Hardaway Jr.,G/F,25,78,205,"$16,500,000.00 ",NBA
James Harden,G,28,77,220,"$28,299,399.00 ",NBA
Maurice Harkless,SF,24,81,220,"$10,162,922.00 ",NBA
Devin Harris,G,34,75,185,"$4,402,546.00 ",NBA
Gary Harris,G/F,23,76,210,"$2,550,055.00 ",NBA
Tobias Harris,F,25,81,235,"$16,000,000.00 ",NBA
