RK,PLAYER,TEAM,GP,G,A,PTS,+/-,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
,"Duncan Siemens, D",COL,10,1,1,2,-2,23,0.2,12,8.3,0,0,0,0,0
,"Filip Chlapik, C",OTT,10,0,2,2,-2,0,0.2,14,0,0,0,1,0,0
,"Andy Welinski, D",ANA,4,0,2,2,1,0,0.5,2,0,0,0,0,0,0
,"Gabriel Carlsson, D",CBJ,14,0,2,2,0,4,0.14,18,0,0,0,0,0,0
,"Roland McKeown, D",CAR,3,0,2,2,1,2,0.67,4,0,0,0,0,0,0
,"Nick Seeler, D",MIN,11,0,2,2,5,11,0.18,8,0,0,0,0,0,0
108,"Tucker Poolman, D",WPG,15,1,0,1,3,0,0.07,18,5.6,0,0,0,0,0
,"Marcus Pettersson, D",ANA,9,1,0,1,2,2,0.11,8,12.5,0,0,0,0,0
,"Noah Juulsen, D",MTL,8,1,0,1,1,2,0.13,15,6.7,0,0,0,0,0
,"Dylan Strome, C",ARI,11,1,0,1,0,2,0.09,12,8.3,0,0,0,0,0
,"Lucas Wallmark, C",CAR,11,1,0,1,-4,2,0.09,16,6.3,0,0,0,0,0
,"Jean-Sebastien Dea, C",PIT,5,1,0,1,1,2,0.2,1,100,1,0,0,0,0
,"Nathan Walker, LW",EDM/WSH,9,1,0,1,0,6,0.11,6,16.7,0,0,0,0,0
,"Nick Paul, LW",OTT,11,1,0,1,-4,0,0.09,11,9.1,0,0,0,0,0
,"Brendan Lemieux, LW",WPG,9,1,0,1,2,21,0.11,6,16.7,0,0,0,0,0
,"Owen Tippett, RW",FLA,7,1,0,1,-6,0,0.14,17,5.9,0,0,0,0,0
,"Rob O'Gara, D",BOS/NYR,16,0,1,1,-6,2,0.06,7,0,0,0,0,0,0
,"Jaycob Megna, D",ANA,14,0,1,1,-4,2,0.07,7,0,0,0,0,0,0
,"Dillon Heatherington, D",DAL,5,0,1,1,3,26,0.2,5,0,0,0,0,0,0
121,"Ben Harpur, D",OTT,29,0,1,1,-9,17,0.03,15,0,0,0,0,0,0
,"Brendan Guhle, D",BUF,5,0,1,1,0,2,0.2,8,0,0,0,0,0,0
,"Ethan Bear, D",EDM,4,0,1,1,-4,2,0.25,4,0,0,0,0,0,0
,"Calle Rosen, D",TOR,4,0,1,1,-3,4,0.25,5,0,0,0,0,0,0
,"Dominic Toninato, C",COL,30,0,1,1,-2,12,0.03,22,0,0,0,0,0,0
,"Logan Brown, C",OTT,4,0,1,1,0,0,0.25,4,0,0,0,0,0,0
,"Jason Dickinson, C",DAL,17,0,1,1,-1,10,0.06,13,0,0,0,0,0,0
,"Henrik Haapala, LW",FLA,5,0,1,1,0,0,0.2,3,0,0,0,0,0,0
,"Dryden Hunt, LW",FLA,11,0,1,1,-5,2,0.09,12,0,0,0,0,0,0
,"Ryan Lomberg, LW",CGY,7,0,1,1,0,15,0.14,5,0,0,0,0,0,0
